,ReportDate,Region,CaseCategory,INTERNALDESC,Total_Cases,Filed,Pending_At_TakeOver,Abandoned,Granted,Transferred,Withdrawn,Closed,Granted_At_TakeOver,Coalesced_Closed_Events,PROPERTYTYPE,CaseRefs (0-1),CaseRefs (1-2),CaseRefs (2-4),CaseRefs (4-8),CaseRefs (8-16),CaseRefs (16+)
29,2019-10-31 00:00:00,GB,Patent,Not yet filed,20,0,0,0,0,0,0,0,0,0,P,,,,,,
30,2019-10-31 00:00:00,GB,Patent,Opened for WIP Only,4,4,0,2,2,0,0,0,0,4,P,,,,,,
31,2019-10-31 00:00:00,GB,Patent,Pending,285,275,7,0,0,0,0,0,0,0,P,,,,,,
32,2019-10-31 00:00:00,GB,Patent,Registered,96,47,7,0,44,0,0,0,18,44,P,,,,,,
33,2019-10-31 00:00:00,GB,Patent,Transferred elsewhere,5,5,0,0,1,5,0,0,0,5,P,,,,,,
34,2019-10-31 00:00:00,PCT,Patent,Abandoned by client,16,4,4,8,0,0,1,0,0,8,P,,,,,,
35,2019-10-31 00:00:00,PCT,Patent,Dead,775,765,0,75,0,0,3,537,0,612,P,,,,,,
36,2019-10-31 00:00:00,PCT,Patent,File Closed,1422,1134,302,34,0,4,4,1385,0,1423,P,,,,,,
37,2019-10-31 00:00:00,PCT,Patent,File Destroyed,111,86,22,7,0,3,0,98,0,108,P,,,,,,
38,2019-10-31 00:00:00,PCT,Patent,File Microfilmed/Scanned,1083,956,123,145,0,36,10,898,0,1081,P,,,,,,
39,2019-10-31 00:00:00,PCT,Patent,Never filed,1,0,0,0,0,0,0,0,0,0,P,,,,,,
40,2019-10-31 00:00:00,PCT,Patent,Not yet filed,6,0,0,0,0,0,0,0,0,0,P,,,,,,
41,2019-10-31 00:00:00,PCT,Patent,Opened for WIP Only,4,3,1,1,0,1,0,2,0,4,P,,,,,,
42,2019-10-31 00:00:00,PCT,Patent,Pending,242,185,44,0,0,0,0,0,0,0,P,,,,,,
43,2019-10-31 00:00:00,PCT,Patent,Transferred elsewhere,3,2,0,1,0,1,0,0,0,2,P,,,,,,
